name,erp18,erp19,erp20,erp21,avann1820num,avann1820per,chg2021num,chg2021per
Taranaki region,121200,123100,125200,126400,2000,1.6,1200,1
Manawatū-Whanganui region,247500,250600,254500,256500,3500,1.4,2000,0.8
Wellington region,525900,532600,543000,547000,8500,1.6,4000,0.7
Tasman region,54000,54900,57000,57900,1500,2.7,870,1.5
Nelson region,52700,53400,54700,54700,1000,1.9,40,0.1
Marlborough region,48700,49300,51000,51500,1100,2.3,510,1
West Coast region,32400,32500,32800,32700,170,0.5,-80,-0.2
Canterbury region,622800,631700,644100,649800,10700,1.7,5700,0.9
Otago region,235000,239400,244600,246700,4800,2,2100,0.9
Southland region,100500,101600,102800,102700,1200,1.1,-120,-0.1
North Island regions,3753700,3815700,3902500,3925800,74400,2,23400,0.6
South Island regions,1146200,1162800,1187000,1196000,20400,1.8,9000,0.8
New Zealand,4900600,4979200,5090200,5122600,94800,1.9,32400,0.6
